99tfT,r4rk1/p2b1p1p/2p2RpQ/1p4N1/4P1P1/2NBq2P/PPP5/2K5 w - - 1 21,c1b1 e3e1 c3d1 e1d1,800,69,mate mateIn2 middlegame queensideAttack short,800
CHFxl,8/8/3R4/P4p2/r2p4/4k3/6P1/5K2 w - - 3 47,a5a6 a4a1,800,69,endgame mate mateIn1 oneMove rookEndgame,800
E7Bue,3r3k/1pp3pp/1bp2r2/p2Q4/P2P1p2/3R1P2/1P4PP/4R1BK b - - 0 30,d8d5 e1e8 f6f8 e8f8,800,69,backRankMate endgame mate mateIn2 short,800
EIX3Q,4r1k1/pp3r1p/8/4qbp1/3pB2R/PQ1P2P1/1P2PP2/R3K3 w Q - 0 28,e4d5 e5e2,800,69,mate mateIn1 middlegame oneMove,800
Eba9w,r2r2k1/p4pp1/1p5p/2pNp1qB/4P3/P2P3b/1P2QPP1/R3R1K1 w - - 0 20,g1h2 g5g2,800,69,master mate mateIn1 middlegame oneMove,800
KQVq8,4r1k1/2R4p/p5p1/1p3p2/8/P5PK/1r5P/3R4 b - - 1 40,e8e2 d1d8 e2e8 d8e8,800,69,endgame mate mateIn2 rookEndgame short,800
OOuJW,r1b4k/pp1r2p1/4Qb1p/8/P7/1P2B1P1/5P1P/1R3RK1 w - - 3 24,f1d1 d7d1 b1d1 c8e6,800,69,advantage discoveredAttack middlegame short,800
P9SmD,r1r3k1/p1q2pbp/4p1p1/P2p4/1P4n1/2NQP3/5PPP/1RB2RK1 w - - 1 18,c3b5 c7h2,800,69,kingsideAttack mate mateIn1 middlegame oneMove,800
SGjuJ,8/1p4pp/1k5P/8/8/5pK1/6b1/8 b - - 0 39,b6c6 h6g7 g2f1 g7g8q,800,69,advancedPawn advantage bishopEndgame endgame promotion short,800
XFCZp,2B3k1/3R2pp/1r1np3/1p6/3P4/4P3/P4PPP/6K1 b - - 4 28,d6c8 d7d8 g8f7 d8c8,800,69,advantage endgame fork short,800
XWQMq,2kr3r/2pq4/p3p3/1p2R2p/1Qp4P/8/PP1N2P1/2K2B1R w - - 1 23,b4c5 d7d2 c1b1 d2d1,800,69,mate mateIn2 middlegame queensideAttack short,800
a8CQA,1k3r2/p1pB4/Qp1p2pp/3P4/3b4/4rN2/PP4PP/6K1 w - - 2 26,f3d4 e3e1 a6f1 f8f1,800,69,endgame mate mateIn2 short,800
kBQkX,6k1/p4pb1/4p1p1/8/4P1P1/3Q1P2/q7/1r2BK1R b - - 4 27,g7e5 d3d8 g8g7 d8h8,800,69,endgame mate mateIn2 short,800
lLBOz,2r3k1/7p/2Pbp1p1/pb2q3/4B3/8/2Q2PPP/2RR2K1 w - - 5 30,d1e1 e5h2,800,69,mate mateIn1 middlegame oneMove,800
oQ56q,1r4k1/5p1p/2p3p1/3p1nP1/q7/1r5P/B1RQ1P2/2KR4 w - - 0 35,a2b3 a4a1,800,69,mate mateIn1 middlegame oneMove,800
sEgQZ,rn1q3r/ppp2k2/4pb2/4p1Q1/3P4/2N5/PPP3PP/R4RK1 w - - 0 16,g5f6 d8f6 f1f6 f7f6,800,69,crushing middlegame short,800
uouhx,r4r1k/1p4pR/n1p5/p1P5/N1BqPB2/P4QP1/1P5P/2K5 b - - 0 24,h8h7 f3h5,800,69,mate mateIn1 middlegame oneMove,800
yyZBE,6k1/pp3ppp/5r2/3p4/3P4/2P3P1/PPb4P/K3R3 b - - 0 35,c2d3 e1e8,800,69,backRankMate endgame mate mateIn1 oneMove,800
IamYC,4Q3/pp3ppk/7p/8/1P3n1N/3q3P/1B3PrK/8 w - - 0 40,h4g2 d3h3 h2g1 h3g2,801,69,endgame master mate mateIn2 short,800
JNqZ7,r1b2rk1/pp3ppp/4p3/3pP3/3n1P2/1Q6/3B2PP/R4RK1 w - - 4 20,b3g3 d4e2 g1f2 e2g3,801,69,advantage fork middlegame short,800
Pki4I,4r3/p4Nk1/2r1P1pp/2b1R3/6P1/8/P6P/4R2K b - - 2 31,e8e6 e5e6 c6e6 e1e6,801,69,advantage endgame short,800
RHlmB,5rk1/ppp2r1p/6p1/2Q1p3/8/2P3P1/PP4PP/4R2K w - - 1 25,c5e5 f7f1 e1f1 f8f1,801,69,backRankMate endgame mate mateIn2 queenRookEndgame short,800
Xn0Vm,1rR3k1/b2r1ppp/Qp2b2q/p7/N2B1P2/P3P1P1/1P3R1P/6K1 b - - 9 25,b8c8 a6c8 d7d8 c8d8,801,69,mate mateIn2 middlegame short,800
ZMo2J,3r1b2/p1p2r2/1p2qp1k/3p1Rp1/3P2Pp/P1P1PR1P/1P5N/5QK1 b - - 1 27,f8d6 f5f6 f7f6 f3f6 h6g7 f6e6,801,69,crushing fork long middlegame,800
cK1GZ,5rk1/pQpp1p1p/1p4p1/8/8/1Pb1B3/1qPK1P1P/3R2N1 w - - 2 17,d2e2 b2c2 e2f3 c2d1,801,69,crushing deflection middlegame short,800
ekhPj,6k1/6pp/p2r1p2/1p6/4P3/P7/1P4PP/4R2K w - - 0 36,e1e2 d6d1 e2e1 d1e1,801,69,backRankMate endgame mate mateIn2 rookEndgame short,800
roHlH,8/ppN1rk1p/3Q4/3Rpp2/1PP2b1q/8/4BPPP/1R4K1 w - - 3 31,b1d1 h4h2 g1f1 h2h1,801,69,kingsideAttack mate mateIn2 middlegame short,800
rsdiR,r5k1/5ppp/2p2q2/2P2b2/rP2p3/P4P2/R3Q1PP/1N2R1K1 b - - 2 21,e4f3 e2e8 a8e8 e1e8,801,69,backRankMate mate mateIn2 middlegame sacrifice short,800
saAoK,1k3b1r/pp1q2p1/4B3/4pp1p/1P6/4P3/P2Q1PPP/2R3K1 b - - 1 24,d7e6 d2d8 e6c8 c1c8,801,69,endgame mate mateIn2 queensideAttack short,800
x457W,8/5p1p/2N1pkp1/1p1p3n/5PP1/4K2P/8/8 b - - 0 41,h5g7 g4g5 f6f5 c6e7,801,69,endgame knightEndgame mate mateIn2 short,800
2Gtf4,2R5/4QrkR/p3p1p1/3pPpP1/5P2/nP6/P3q1P1/6K1 b - - 0 33,g7h7 e7f7,802,69,endgame hangingPiece mate mateIn1 oneMove,800
8fIAs,r2q1rk1/pb1n1pb1/1p2p2p/2pn2p1/3P4/2PQ1NB1/PPB2PPP/RN2R1K1 b - - 1 15,c5d4 d3h7,802,69,mate mateIn1 oneMove opening,800
DcToT,r1b1k2r/2qp1p2/p1n1p3/1pB3pp/1P2PNn1/1NPB4/P5PP/R2Q1RK1 w kq - 0 18,f4h3 c7h2,802,69,middlegame,800
DwPwz,r1b2rk1/ppp2ppp/3b4/8/2B4q/3P1Q1P/PPP2PPn/RNB1R1K1 w - - 3 14,f3f7 f8f7 e1e8 d6f8 c4f7 g8f7,802,69,crushing long opening,800
L5XuT,2br1rk1/p1q1p1bp/1p4p1/2pPnp2/2P5/P3BN1P/1PQ1BPP1/3R1RK1 w - - 0 17,e3f4 e5f3 e2f3 c7f4,802,69,advantage discoveredAttack kingsideAttack middlegame short,800
L86RN,3r2k1/2R2ppp/8/8/3Bp3/6P1/2p1PP1P/6K1 b - - 0 37,d8d4 c7c8 d4d8 c8d8,802,69,backRankMate endgame mate mateIn2 rookEndgame short,800
MNwbW,7k/p5p1/b7/p2QP3/P2N1q2/2P2P2/1r4PP/RN2R1K1 w - - 3 24,e1e4 f4c1 e4e1 c1e1,802,69,mate mateIn2 middlegame short,800
PRCXI,4r1k1/1p1N2pp/p1p3r1/P2P4/2P2B2/3Q4/1q4P1/5R1K w - - 0 30,d5c6 b2g2,802,69,mate mateIn1 middlegame oneMove,800
X4XH8,2kr3r/pppq2pp/2nb1pn1/3p4/PP1P4/1NPB1P2/2Q2P1P/R1B2RK1 b - - 0 13,d7h3 d3f5 h3f5 c2f5,802,69,advantage fork master middlegame short,800
XYJxq,2r3k1/p1p2r2/1pR2pnq/5b2/3PN2P/1P2P1P1/PQ3PB1/6K1 b - - 2 31,c8e8 e4f6 f7f6 c6f6,802,69,advantage fork middlegame short,800
oCqzQ,3r4/pr4kp/b2pp1p1/2p5/4PN2/1B5P/PPP3P1/1R5K b - - 1 27,e6e5 f4e6 g7h8 e6d8,802,69,crushing endgame fork short,800
tC7Ba,3k4/4p3/3p4/1p1P4/1rP3Q1/6K1/8/8 w - - 0 43,g3h4 b4c4 h4h5 c4g4,802,69,crushing endgame pin queenRookEndgame short,800
viaUg,6k1/1p3pp1/p2ppn1p/7q/1P1P1P2/P2BP2P/5P1K/2Q5 b - - 0 24,h5f3 c1c8 f6e8 c8e8,802,69,endgame kingsideAttack mate mateIn2 short,800
wVWdE,r1b1r1k1/2p2ppp/pb6/1p2n1N1/8/1B6/PP3PPP/RN2R1K1 b - - 1 17,e5c4 e1e8,802,69,hangingPiece kingsideAttack mate mateIn1 middlegame oneMove,800
zlN0X,2r5/ppr3k1/8/6P1/3p4/P2n4/BP3R2/1K1R4 w - - 0 37,f2d2 c7c1 d1c1 c8c1,802,69,endgame mate mateIn2 short,800
64N6L,2rQ2k1/rq3ppp/4b3/pBp5/N1P1p3/1P6/P4PPP/3R2K1 b - - 1 24,c8d8 d1d8,803,69,backRankMate mate mateIn1 middlegame oneMove,800
FqpTd,4rnk1/1p3p1p/1P2p1p1/8/P2Bq3/1P1R3R/6PP/2Q3K1 w - - 0 31,c1h6 e4e1,803,69,mate mateIn1 middlegame oneMove,800
KRPzS,4q1k1/5Rpp/2p5/1pBpP3/1P2p3/4P2Q/7P/r4NK1 b - - 0 31,e8f7 h3c8 f7e8 c8e8,803,69,endgame mate mateIn2 short,800
VfiSY,8/8/p3p3/1b2kppp/1P6/P3KPP1/2P1N1P1/8 w - - 2 29,e2d4 f5f4 g3f4 g5f4 e3f2 e5d4,803,69,crushing endgame long,800
jQQKj,5rk1/ppp1b1pp/4pn2/4R3/2N5/8/PPP2PPP/R1Br2K1 w - - 3 15,e5e1 d1e1,803,69,backRankMate hangingPiece mate mateIn1 middlegame oneMove,800
kL9T9,1r4k1/5ppp/4p3/p2r4/P2B4/1PR1P3/5PPP/5K2 b - - 2 29,b8b4 c3c8 d5d8 c8d8,803,69,endgame mate mateIn2 short,800
vGcwM,R1r3k1/1Q3ppp/2p1q3/3pP3/3Pb3/1p2B2P/1P3PP1/6K1 b - - 8 34,c8a8 b7a8 e6c8 a8c8,803,69,backRankMate endgame mate mateIn2 short,800
ymGtq,3Q2r1/5pkp/5Pp1/1q6/3R4/2n2P2/2P3PP/2K5 b - - 0 33,g7h8 d8g8 h8g8 d4d8 b5e8 d8e8,803,69,attraction endgame long mate mateIn3 sacrifice,800
8MmCL,3r2k1/3q1pb1/p3p1pp/1p2n3/2pPN3/2P2P1R/P1Q3PP/3R2K1 w - - 0 41,d4e5 d7d1 c2d1 d8d1,804,69,advantage kingsideAttack middlegame short,800
9A2AI,r4rk1/pp3ppp/3p4/2p4Q/4P1P1/1PPPBq2/1P1K1Pn1/R6R b - - 5 20,g2e3 h5h7,804,69,kingsideAttack mate mateIn1 middlegame oneMove,800
9otOD,r7/4R3/kpp5/6pp/2PB4/7P/p2r1PP1/R5K1 b - - 0 41,d2d4 a1a2,804,69,endgame mate mateIn1 oneMove rookEndgame,800
CpNVG,8/5k2/3p4/p2P1PK1/4P1P1/2b5/3p4/3R4 w - - 0 47,g5h5 a5a4 g4g5 a4a3 h5g4 a3a2,804,69,advancedPawn crushing endgame long quietMove,800
O923t,2k1r3/5p1p/3p2p1/p2P4/Pp1P4/1P1B1P2/3K2PP/8 b - - 0 29,c8d7 d3b5 d7e7 b5e8,804,69,crushing endgame short skewer,800
YAywu,4k3/7p/2p3p1/2P2p2/Npb2P2/3p2P1/1P5P/4K3 b - - 1 36,e8d7 a4b6 d7e6 b6c4,804,69,crushing endgame fork master short,800
cmDBB,1r4k1/p1q2ppp/1R2p3/2ppPn2/Q4B2/P1P5/5PPP/4R1K1 b - - 0 24,b8b6 a4e8,804,69,endgame mate mateIn1 oneMove,800
dZ2SP,8/1p3rkp/p4p2/8/6Q1/P7/2q2PPP/4R1K1 b - - 1 33,g7h8 e1e8 f7f8 e8f8,804,69,endgame mate mateIn2 short,800
hMQwe,2r5/p4k1p/4pp2/1N6/8/1P5P/P4KP1/8 b - - 0 37,a7a6 b5d6 f7e7 d6c8 e7d7 c8b6,804,69,advantage endgame fork long,800
hUucj,r5k1/2p3pp/1p6/8/1P3pP1/2qPpN2/2b1P2P/2Q2R1K b - - 1 28,a8a1 c1a1 c3a1 f1a1,804,69,crushing endgame short,800
jgjr1,1r6/2r2pp1/3kR1p1/p1Np4/1pnP2P1/P1P2P2/1P4P1/4R1K1 b - - 0 29,f7e6 e1e6,804,69,endgame hookMate master mate mateIn1 oneMove,800
wEq8R,r4rk1/2qb1pp1/2p1p2p/1p6/3P4/2P1P3/2Q2PPP/RB2R1K1 b - - 1 20,a8a1 c2h7,804,69,mate mateIn1 middlegame oneMove,800
ylC10,8/1RR2p2/3bpk2/p7/8/7P/P2r1PPK/8 w - - 5 38,h2g1 d2d1,804,69,endgame mate mateIn1 oneMove,800
5H4Kt,1R4k1/p4p1p/4pb1P/P2p4/8/8/2rB2K1/8 b - - 1 41,f6d8 b8d8,805,69,endgame hangingPiece mate mateIn1 oneMove,800
7Zcwb,6k1/5p1p/3p2pB/p1p5/3brP2/PR6/3K4/8 b - - 1 38,c5c4 b3b8 e4e8 b8e8,805,69,endgame mate mateIn2 short,800
9DK4i,3r3k/r5bp/p5P1/5q1R/7Q/2P1p3/PP1p4/K2R4 b - - 1 36,f5h5 h4d8 g7f8 d8f8,805,69,endgame hangingPiece mate mateIn2 short,800
