0InLe,r1b1k1nr/ppp1qppp/8/4n3/2Pp4/P4N2/1P1NPPPP/R2QKB1R w KQkq - 0 9,g2g3 e5d3,1400,69,mate mateIn1 oneMove opening pin smotheredMate,1400
5MLFX,7r/pppk4/2n2pp1/3p1p1p/3P3N/2P5/PPK3PN/4R3 b - - 1 23,c6e7 e1e7 d7e7 h4g6 e7f7 g6h8,1400,69,attraction crushing endgame fork long,1400
6sWjp,3r4/pp2n1kB/5b2/2p5/2Q5/7P/PPP2PP1/2K5 w - - 4 32,h7e4 f6g5 f2f4 g5f4 c1b1 d8d1,1400,69,backRankMate endgame long mate mateIn3,1400
89Np8,5rr1/k2q1p1p/pp2p3/8/P1pPNRn1/8/1PP1Q1PP/3R2K1 b - - 3 30,d7c7 f4g4 g8g4 e2g4,1400,69,crushing middlegame short,1400
CJKmk,r1b5/p1pkNp1p/1p1p1Br1/4P3/3P2P1/5P2/PP5b/R3KB2 b Q - 3 19,g6h6 f1b5 c7c6 b5c6,1400,69,crushing middlegame short,1400
CxaL6,2r2r2/1p5k/2b1p2p/p2q1n1Q/2pPNP2/2P4P/1P3K1B/4RR2 b - - 1 30,f8g8 e4f6 h7h8 f6d5,1400,69,crushing fork master middlegame short,1400
JoyZj,r2q1rk1/pp4bp/3pp1p1/3Q1b2/2P5/2N2N2/PP3PPP/2KR1B1R w - - 0 14,d5d6 g7h6 d6d2 h6d2,1400,69,advantage opening queensideAttack short,1400
KZzGO,4r3/5bp1/8/2kp3p/1p3P2/2K3P1/3R2P1/3R4 w - - 0 35,c3d3 f7g6 f4f5 g6f5,1400,69,endgame mate mateIn2 short,1400
KvGDt,r3kb1r/ppp1pppp/5n2/4q3/1P1n2b1/2N3P1/PBPPNP1P/1R1QKB1R w Kkq - 5 9,h2h3 d4f3,1400,69,mate mateIn1 oneMove opening smotheredMate,1400
LeoKk,2k4r/ppprR2p/2qP2p1/4b3/1P4Q1/8/P4PPP/R5K1 w - - 0 24,e7d7 c6d7 g4d7 c8d7,1400,69,crushing endgame short,1400
MqVYm,8/2r2p2/p3nkp1/1p5p/2p1R1n1/7P/PPB3P1/3R2K1 b - - 0 38,g4e5 d1f1 f6g7 e4e5,1400,69,advantage deflection endgame short,1400
N7RNI,r2q1rk1/pp1n1ppp/2pbpnb1/4N3/2BP4/2P3N1/PP3PPP/R1BQR1K1 b - - 6 11,d7e5 d4e5 d6e5 d1d8 a8d8 e1e5,1400,69,advantage discoveredAttack fork long opening,1400
OjOq2,8/1k6/p3p3/1PR2p2/2P5/4Pn2/P3N2p/6rK w - - 3 36,e2g1 h2g1q,1400,69,advancedPawn endgame master mate mateIn1 oneMove promotion,1400
SeURf,8/8/BB2k3/p3n3/P3P3/2b3p1/8/5K2 b - - 1 41,e5g4 a6c8 e6d6 c8g4,1400,69,crushing endgame master short skewer,1400
VeHzd,r3k2r/ppp2ppp/2pb4/8/N2BPn2/1P3P2/P1P2P1P/R4RK1 w kq - 1 14,d4g7 h8g8 g1h1 g8g7,1400,69,crushing middlegame pin short,1400
hDqAB,8/2p1Qq1p/pp2bBk1/8/1P2p3/P5PP/2P4K/8 w - - 6 33,h2g2 f7f6 e7f6 g6f6,1400,69,crushing endgame short,1400
iIA4U,6k1/3b2b1/2pN3p/p1Pp4/5QP1/1P6/P7/4qBK1 b - - 12 45,e1e5 f4f7 g8h8 f7d7,1400,69,advantage endgame fork master short,1400
jjeY9,8/1p3p2/1P6/6p1/1P1pP2k/3P3P/6K1/8 w - - 3 54,e4e5 g5g4 h3g4 h4g4,1400,69,crushing endgame master pawnEndgame short,1400
nASXl,rn1qr1k1/5pbp/bpp1R1p1/6N1/2BP1B2/1QP5/P4PPP/R5K1 b - - 0 16,f7e6 c4e6 g8h8 g5f7,1400,69,crushing kingsideAttack middlegame short,1400
njlPk,k6r/p1B3bp/8/2r5/3n4/PQ1P2P1/1P3P1P/2R3K1 w - - 3 30,b3d1 c5c1 d1c1 d4e2 g1f1 e2c1,1400,69,attraction crushing fork long middlegame pin,1400
qBrB8,r1bqr1k1/ppp2p1p/5P2/8/1b6/3Bp2P/PPP3P1/R2Q1RK1 b - - 0 16,b4f8 d3h7 g8h7 d1h5,1400,69,attraction crushing kingsideAttack middlegame sacrifice short,1400
